symbol,exchange,shortName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,messageBoardId,market,longNamecompanyOfficers,twitter,name,startDate,description,maxAge,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,address1,address2,address3,industryinitInvestment,family,categoryName,initAipInvestment,subseqIraInvestment,brokerages,managementInfo,subseqInvestment,legalType,styleBoxUrl,feesExpensesInvestment,feesExpensesInvestmentCat,initIraInvestment,subseqAipInvestment
C,NYQ,"Citigroup, Inc.",America/New_York,EST,False,-18000000.0,finmb_391687,us_market,,,,,,1.0,10013,Financial Services,210000.0,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. The company operates in two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, Citi-branded cards, and Citi retail services. It also provides various banking, credit card lending, and investment services through a network of local branches, offices, and electronic delivery systems. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services to corporate, institutional, public sector, and high-net-worth clients. As of December 31, 2019, it operated 2,348 branches primarily in the United States, Mexico, and Asia. Citigroup Inc. was founded in 1812 and is headquartered in New York, New York.",New York,212-559-1000,NY,United States,http://www.citigroup.com,388 Greenwich Street,,,,,,,,,,,,,,,,
CMPI,NGM,"Checkmate Pharmaceuticals, Inc.",America/New_York,EST,False,-18000000.0,finmb_291783457,us_market,,,,,,1.0,02142,Healthcare,21.0,"Checkmate Pharmaceuticals, Inc., a biotechnology company, develops novel immunotherapies for the treatment of cancer. It engages in the field of CpG oligonucleotides and validates an approach that combines the ability of CpG DNA to activate an anti-tumor T-cell response with checkpoint inhibition to overcome a tumor's ability to mute the immune response. The company has strategic alliances with Merck KGaA and Pfizer. Checkmate Pharmaceuticals, Inc. was incorporated in 2015 and is based in Cambridge, Massachusetts.",Cambridge,617 682 3625,MA,United States,http://www.checkmatepharma.com,245 Main Street,2nd Floor,,,,,,,,,,,,,,,
CALT,NMS,Calliditas Therapeutics AB,America/New_York,EST,False,-18000000.0,finmb_419853,us_market,,,,,,1.0,111 22,Healthcare,23.0,"Calliditas Therapeutics AB (publ) operates as a biopharmaceutical company in Stockholm, Sweden. It focuses on identifying, developing, and commercializing pharmaceutical products for patients with unmet medical needs. The company's lead product candidate is Nefecon, a unique formulation optimized to combine a time lag effect with a concentrated release of the active substance budesonide, within a designated target area. This patented, locally acting formulation is intended for treatment of patients with the inflammatory renal disease IgA nephropathy. Calliditas Therapeutics AB (publ) also intends to take Nefecon through a global Phase 3 study to commercialization. The company was founded in 2004 and is headquartered in Stockholm, Sweden.",Stockholm,46 84 11 30 05,,Sweden,http://www.calliditas.se,"Kungsbron 1, C8",,,,,,,,,,,,,,,,
CRSR,NMS,"Corsair Gaming, Inc.",America/New_York,EST,False,-18000000.0,finmb_104422749,us_market,,,,,,1.0,94538,Technology,2000.0,"Corsair Gaming, Inc., together with its subsidiaries, designs, markets, and distributes gaming and streaming peripherals, components and systems in the Americas, Europe, the Middle East, and the Asia Pacific. The company offers gamer and creator peripherals, including gaming keyboards, mice, headsets, and controllers, as well as capture cards, studio accessories, and others. It also provides gaming components and systems comprising power supply units, cooling solutions, computer cases, and DRAM modules, as well as prebuilt and custom-built gaming PCs, and others; and PC gaming software comprising iCUE for gamers and Elgato's streaming suite for content creators. The company sells its products through a network of distributors and retailers, including online retailers, as well as directly to consumers through its websites. Corsair Gaming, Inc. was founded in 1994 and is headquartered in Fremont, California.",Fremont,510 657 8747,CA,United States,http://www.corsair.com,47100 Bayside Parkway,,,,,,,,,,,,,,,,
CFIIU,NCM,CF Finance Acquisition Corp. II,America/New_York,EST,False,-18000000.0,finmb_668669635,us_market,,,,,,1.0,10022,Financial Services,,"CF Finance Acquisition Corp. II focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. It intends to focus on industries, including the financial services, healthcare, real estate services, technology, and software industries. The company was founded in 2019 and is based in New York, New York.",New York,212 938 5000,NY,United States,,110 East 59Th Street,,,,,,,,,,,,,,,,
CMLFU,NCM,"CM Life Sciences, Inc.",America/New_York,EST,False,-18000000.0,finmb_683670265,us_market,,,,,,1.0,10065,Financial Services,,"CM Life Sciences, Inc. intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.",New York,212 474 6745,NY,United States,http://cmlifesciencesspac.com,667 Madison Avenue,,,,,,,,,,,,,,,,
CVAC,NGM,CureVac N.V.,America/New_York,EST,False,-18000000.0,finmb_20786046,us_market,,,,,,1.0,72076,Healthcare,500.0,"CureVac N.V., a clinical-stage biopharmaceutical company, engages in developing various transformative medicines based on messenger ribonucleic acid (mRNA). Its lead proprietary programs include CV8102 that is in a Phase 1 dose escalating clinical trials for four types of cancers as a monotherapy and in combination with anti-PD-1; and CV7202, which is in a Phase 1 clinical trials as a vaccine candidate against rabies. It is also advancing mRNA vaccine program against coronavirus (SARS-CoV-2), which is in Phase 1 clinical trial. The company's partnered programs comprise BI1361849, a therapeutic vaccine candidate that is in a Phase 1/2 clinical trials to elicit antigen-specific immune responses against tumor-associated antigens frequently overexpressed in patients with non-small cell lung cancer; Cas9 mRNA constructs for use in gene editing therapeutics; mRNA based novel therapeutic antibodies; prophylactic vaccines to prevent picornaviruses, influenza, malaria, and rotavirus; and programs against SARS-CoV-2, Lassa virus, and yellow fever. It has strategic partnerships with Genmab, Arcturus, Acuitas, CRISPR Therapeutics, Boehringer Ingelheim, GlaxoSmithKline, the Bill & Melinda Gates Foundation, CEPI, Tesla Grohmann, and others, as well as a collaboration with the U.K. Government to develop and manufacture potential vaccine candidates against SARS-CoV-2 variants. The company was founded in 2000 and is headquartered in TÃ¼bingen, Germany.",TÃ¼bingen,49 7071 9883 0,,Germany,http://www.curevac.com,Friedrich-Miescher-Strasse 15,,,,,,,,,,,,,,,,
CLEU,NCM,China Liberal Education Holding,America/New_York,EST,False,-18000000.0,finmb_629136501,us_market,,,,,,1.0,100190,Consumer Defensive,98.0,"China Liberal Education Holdings Limited provides educational services and products under the China Liberal brand name in China. The company offers Sino-foreign jointly managed and delivered academic programs, including undergraduate and postgraduate education, as well as diploma and non-degree higher education, and senior secondary education programs in the areas of languages, liberal arts, and businesses. It also provides overseas study consulting and technological consulting services for Chinese universities to enhance their campus information and data management system, as well as to optimize their teaching, operating, and management environment. The company's consulting services include campus intranet solution buildout, school management software customization, smart devices, installation and testing, and school management data collection and analysis. In addition, it develops and provides textbooks and other course materials to students enrolled under the Sino-foreign Jointly Managed Academic Programs, as well as offers job readiness training to graduating students. China Liberal Education Holdings Limited was founded in 2011 and is headquartered in Beijing, China.",Beijing,86 10 6597 8118,,China,http://www.chinaliberal.com,Zhongguangcun MOOC Times Building,"Room 1618, 18 Zhongguangcun Street Haidian District",,,,,,,,,,,,,,,
CL,NYQ,Colgate-Palmolive Company,America/New_York,EST,False,-18000000.0,finmb_53837907,us_market,,,,,,1.0,10022,Consumer Defensive,,"Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products worldwide. The company operates through two segments, Oral, Personal and Home Care; and Pet Nutrition. The Oral, Personal and Home Care segment products include toothpaste, toothbrushes, mouthwash, bar and liquid hand soaps, shower gels, shampoos, conditioners, deodorants and antiperspirants, skin health products, dishwashing detergents, fabric conditioners, household cleaners, and other similar items. This segment markets and sells its products to various retailers, wholesalers, and distributors. The Pet Nutrition segment offers pet nutrition products for everyday nutritional needs; and a range of therapeutic products to manage disease conditions in dogs and cats. This segment markets and sells its products for dogs and cats through pet supply retailers, veterinarians, and e-commerce retailers. Its principal global and regional trademarks include Colgate, Palmolive, elmex, meridol, Tom's of Maine, Sorriso, Hello, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Filorga, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline, and Suavitel, as well as Hill's Science Diet and Hill's Prescription Diet. Colgate-Palmolive Company was founded in 1806 and is headquartered in New York, New York.",New York,212 310 2000,NY,United States,http://www.colgatepalmolive.com,300 Park Avenue,,,,,,,,,,,,,,,,
CCL,NYQ,Carnival Corporation,America/New_York,EST,False,-18000000.0,finmb_258823,us_market,,,,,,1.0,33178-2428,Consumer Cyclical,70000.0,"Carnival Corporation & plc operates as a leisure travel company. Its ships visit approximately 700 ports under the Carnival Cruise Line, Princess Cruises, Holland America Line, P&O Cruises (Australia), Seabourn, Costa Cruises, AIDA Cruises, P&O Cruises (UK), and Cunard brand names. The company also provides port destinations and other services, as well as owns and operates hotels, lodges, glass-domed railcars, and motor coaches. It sells its cruises primarily through travel agents and tour operators. The company operates in the United States, Canada, Continental Europe, the United Kingdom, Australia, New Zealand, Asia, and internationally. It operates 87 ships with 223,000 lower berths. The company was incorporated in 1972 and is headquartered in Miami, Florida.",Miami,305 599 2600,FL,United States,http://www.carnivalcorp.com,3655 NW 87th Avenue,,,,,,,,,,,,,,,,
D,NYQ,"Dominion Energy, Inc.",America/New_York,EST,False,-18000000.0,finmb_267105,us_market,,,,,,1.0,23219,Utilities,,"Dominion Energy, Inc. produces and transports energy. The company's Dominion Energy Virginia segment engages in the regulated electric generation, transmission, and distribution operations that serve residential, commercial, industrial, and governmental customers in Virginia and North Carolina. Its Gas Transmission & Storage segment operates interstate natural gas transmission pipelines and underground storage systems, as well as engages in nonregulated retail natural gas marketing, and development of renewable natural gas and LNG infrastructure. The company's Gas Distribution segment engages in the regulated natural gas gathering, transportation, distribution, and sales activities. This segment serves residential, commercial, and industrial customers. Its Dominion Energy South Carolina segment generates, transmits, and distributes electricity and natural gas to residential, commercial, and industrial customers in South Carolina. The company's Contracted Generation segment is involved in the energy marketing and price risk activities. As of December 31, 2019, the company's portfolio of assets included approximately 30,700 megawatts of electric generating capacity; 10,400 miles of electric transmission lines; 85,000 miles of electric distribution lines; 14,600 miles of natural gas transmission, gathering, and storage pipelines; and 103,400 miles of gas distribution pipelines. It serves approximately 7 million utility and retail energy customers; and operates underground natural gas storage systems with approximately 1 trillion cubic feet of storage capacity. The company sells electricity at wholesale prices to rural electric cooperatives and municipalities, as well as into wholesale electricity markets. The company was formerly known as Dominion Resources, Inc. and changed its name to Dominion Energy, Inc. in May 2017. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.",Richmond,804-819-2000,VA,United States,http://www.dominionenergy.com,120 Tredegar Street,,,,,,,,,,,,,,,,
DYN,NMS,"Dyne Therapeutics, Inc.",America/New_York,EST,False,-18000000.0,finmb_608699906,us_market,,,,,,1.0,02451,Healthcare,36.0,"Dyne Therapeutics, Inc., a muscle disease company, operates as a biotechnology company that focuses on advancing therapeutics for genetically driven muscle diseases in the United States. It develops various programs for myotonic dystrophy type 1, duchenne muscular dystrophy, and facioscapulohumeral dystrophy, as well as rare skeletal muscle, and cardiac and metabolic muscle diseases using its FORCE platform that delivers disease-modifying therapies. The company was founded in 2017 and is based in Waltham, Massachusetts.",Waltham,781 786 8230,MA,United States,http://www.dyne-tx.com,830 Winter Street,,,,,,,,,,,,,,,,
DDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADA,NMS,Dada Nexus Limited,America/New_York,EST,False,-18000000.0,finmb_304386563,us_market,,,,,,1.0,200082,Consumer Cyclical,2232.0,"Dada Nexus Limited operates platform of local on-demand retail and delivery in China. It operates JD-Daojia, a local on-demand retail platform for consumers, retailers, and brand owners; and Dada Now, a local on-demand delivery platform for merchants and individual senders in various industries and product categories. The company was founded in 2014 and is headquartered in Shanghai, the People's Republic of China.",Shanghai,86 21 3165 7167,,China,http://about.imdada.cn,Oriental Fishermanâs Wharf,22nd Floor No. 1088 Yangshupu Road Yangpu District,,,,,,,,,,,,,,,
^DJI,DJI,Dow Jones Industrial Average,America/New_York,EST,False,-18000000.0,finmb_INDEXDJI,us_market,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,NYQ,"Delta Air Lines, Inc.",America/New_York,EST,False,-18000000.0,finmb_266311,us_market,,,,,,1.0,30320-6001,Industrials,74000.0,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments, Airline and Refinery. Its domestic network centered on core hubs in Atlanta, Minneapolis-St. Paul, Detroit, and Salt Lake City, as well as coastal hub positions in Boston, Los Angeles, New York-LaGuardia, New York-JFK, and Seattle; and international network centered on hubs and market presence in Amsterdam, London-Heathrow, Mexico City, Paris-Charles de Gaulle, and Seoul-Incheon. The company sells its tickets through various distribution channels, including delta.com and the Fly Delta app, telephone reservations, online travel agencies, traditional brick and mortar, and other agencies. It also provides aircraft maintenance, repair, and overhaul services; and vacation packages to third-party consumers, as well as aircraft charters, and management and programs. The company operates through a fleet of approximately 1,000 aircraft. Delta Air Lines, Inc. was founded in 1924 and is based in Atlanta, Georgia.",Atlanta,404 715 2600,GA,United States,http://www.delta.com,PO Box 20706,,,,,,,,,,,,,,,,
DIS,NYQ,Walt Disney Company (The),America/New_York,EST,False,-18000000.0,finmb_191564,us_market,,,,,,1.0,91521,Communication Services,175000.0,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. The company's Media Networks segment operates domestic cable networks under the Disney, ESPN, Freeform, FX, and National Geographic brands; and television broadcast network under the ABC brand, as well as eight domestic television stations. This segment is also involved in the television production and distribution. Its Parks, Experiences and Products segment operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney and Aulani, a Disney resort and spa in Hawaii, as well as licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort in Japan. The company's Studio Entertainment segment produces and distributes motion pictures under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, Searchlight Pictures, and Blue Sky Studios banners; develops, produces, and licenses live entertainment events; produces and distributes music; and provides post-production services through Industrial Light & Magic and Skywalker Sound. Its Direct-To-Consumer & International segment operates international television networks and channels comprising Disney, ESPN, Fox, National Geographic, and Star; direct-to-consumer videos streaming services consisting of Disney+/Disney+Hotstar, ESPN+, and Hulu; and operates branded apps and Websites, such as Disney Movie Club and Disney Digital Network, as well as provides streaming technology support services. The company was founded in 1923 and is based in Burbank, California.",Burbank,818-560-1000,CA,United States,http://www.thewaltdisneycompany.com,500 South Buena Vista Street,,,,,,,,,,,,,,,,
JNUG,PCX,Direxion Daily Junior Gold Mine,America/New_York,EST,False,-18000000.0,finmb_247759518,us_market,,,,,,1.0,,,,"The investment seeks daily investment results, before fees and expenses, of 200% of the daily performance of the MVIS Global Junior Gold Miners Index.
 The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, and securities of the index, ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index includes companies from markets that are freely investable to foreign investors, including ""emerging markets,"" as that term is defined by the index provider. It is non-diversified.",,866-476-7523,,,,,,,,Direxion Funds,Trading--Leveraged Equity,,,[],"{'managerName': None, 'managerBio': None, 'startdate': None}",,Exchange Traded Fund,http://us.i1.yimg.com/us.yimg.com/i/fi/3_0stylelargeeq6.gif,"{'annualHoldingsTurnover': 3.12, 'frontEndSalesLoad': None, 'annualReportExpenseRatio': 0.0112, 'netExpRatio': None, 'projectionValues': None, 'grossExpRatio': None, 'deferredSalesLoad': None, 'totalNetAssets': 2366.7, 'twelveBOne': None}","{'annualReportExpenseRatio': 0.009, 'frontEndSalesLoad': None, 'deferredSalesLoad': None, 'twelveBOne': None, 'annualHoldingsTurnover': 86.74, 'totalNetAssets': 2366.7, 'projectionValuesCat': None}",,
NUGT,PCX,Direxion Daily Gold Miners Inde,America/New_York,EST,False,-18000000.0,finmb_116840403,us_market,,,,,,1.0,,,,"The investment seeks daily investment results, before fees and expenses, of 200% of the daily performance of the NYSE Arca Gold Miners Index.
 The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, and securities of the index, ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index is a comprised of publicly traded companies that operate globally in both developed and emerging markets, and are involved primarily in mining for gold and, in mining for silver. It is non-diversified.",,866-476-7523,,,,,,,,Direxion Funds,Trading--Leveraged Equity,,,[],"{'managerName': None, 'managerBio': None, 'startdate': None}",,Exchange Traded Fund,http://us.i1.yimg.com/us.yimg.com/i/fi/3_0stylelargeeq6.gif,"{'annualHoldingsTurnover': 3.33, 'frontEndSalesLoad': None, 'annualReportExpenseRatio': 0.0117, 'netExpRatio': None, 'projectionValues': None, 'grossExpRatio': None, 'deferredSalesLoad': None, 'totalNetAssets': 10076.01, 'twelveBOne': None}","{'annualReportExpenseRatio': 0.009, 'frontEndSalesLoad': None, 'deferredSalesLoad': None, 'twelveBOne': None, 'annualHoldingsTurnover': 86.74, 'totalNetAssets': 10076.01, 'projectionValuesCat': None}",,
DOW,NYQ,Dow Inc.,America/New_York,EST,False,-18000000.0,finmb_9830660,us_market,,,,,,1.0,48674,Basic Materials,35700.0,"Dow Inc. provides various materials science solutions for consumer care, infrastructure, and packaging markets in the United States, Canada, Europe, the Middle East, Africa, India, the Asia Pacific, and Latin America. It operates through Packaging & Specialty Plastics, Industrial Intermediates & Infrastructure, and Performance Materials and Coatings segments. The Packaging & Specialty Plastics segment provides ethylene, and propylene and aromatics products; and polyethylene, polyolefin elastomers, ethylene vinyl acetate, and ethylene propylene diene monomer rubbers. The Industrial Intermediates & Infrastructure segment offers ethylene oxides, propylene oxide, propylene glycol and polyether polyols, aromatic isocyanates and polyurethane systems, coatings, adhesives, sealants, elastomers, and composites. This segment also provides caustic soda, and ethylene dichloride and vinyl chloride monomers; and cellulose ethers, redispersible latex powders, silicones, and acrylic emulsions. The Performance Materials and Coatings segment provides architectural paints and coatings, and industrial coatings that are used in maintenance and protective industries, wood, metal packaging, traffic markings, thermal paper, and leather; performance monomers and silicones; standalone silicones; and home and personal care solutions. It also engages in property and casualty insurance, as well as reinsurance business. Dow Inc. was incorporated in 2018 and is headquartered in Midland, Michigan.",Midland,989 636 1000,MI,United States,http://www.dow.com,2211 H.H. Dow Way,,,,,,,,,,,,,,,,
E,NYQ,ENI S.p.A.,America/New_York,EST,False,-18000000.0,finmb_358534,us_market,,,,,,1.0,94403,Energy,11400.0,"Franklin Resources, Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides its services to individuals, institutions, pension plans, trusts, and partnerships. It launches equity, fixed income, balanced, and multi-asset mutual funds through its subsidiaries. The firm invests in the public equity, fixed income, and alternative markets. Franklin Resources, Inc. was founded in 1947 and is based in San Mateo, California with an additional office in Hyderabad, India.",San Mateo,650-312-2000,CA,United States,http://www.franklinresources.com,One Franklin Parkway,,,,,,,,,,,,,,,,
